=== Portion Estimation Evaluation ===
Chicken Nuggets: MAE = 0.38g, RMSE = 0.49g
Chicken Parmesan: MAE = 0.44g, RMSE = 0.58g
Chicken Pizza: MAE = 0.51g, RMSE = 0.73g
Chicken Pizziola: MAE = 0.37g, RMSE = 0.49g
Chicken Pot Pie: MAE = 0.40g, RMSE = 0.51g
Chicken Sandwich: MAE = 0.51g, RMSE = 0.71g
Chicken Stock: MAE = 0.34g, RMSE = 0.44g
Chicken Teriyaki Sandwich: MAE = 0.35g, RMSE = 0.54g
Chicken Tikka Masala: MAE = 0.50g, RMSE = 0.67g
Chicken Vegetable Soup: MAE = 0.35g, RMSE = 0.52g
Chicken Wings: MAE = 0.52g, RMSE = 0.69g
Chicken with Rice Soup: MAE = 0.44g, RMSE = 0.60g
Chicory: MAE = 0.56g, RMSE = 0.75g
Chili con Carne: MAE = 0.39g, RMSE = 0.53g
Chimichanga: MAE = 0.42g, RMSE = 0.57g
Chinese Cabbage: MAE = 0.42g, RMSE = 0.58g
Chives: MAE = 0.55g, RMSE = 0.79g
Chocolate Chip Ice Cream: MAE = 0.47g, RMSE = 0.67g
Chocolate Ice Cream: MAE = 0.47g, RMSE = 0.64g
Chop Suey: MAE = 0.64g, RMSE = 0.91g
Ciao Bella: MAE = 0.42g, RMSE = 0.58g
Clementine: MAE = 4.13g, RMSE = 6.56g
Cobb Salad: MAE = 0.49g, RMSE = 0.68g
Coffee Ice Cream: MAE = 0.25g, RMSE = 0.39g
Cold Stone Creamery: MAE = 0.30g, RMSE = 0.42g
Collard Greens: MAE = 0.51g, RMSE = 0.73g
Cookie Dough Ice Cream: MAE = 0.57g, RMSE = 0.72g
Corn: MAE = 0.31g, RMSE = 0.47g
Corn Dog: MAE = 0.53g, RMSE = 0.71g
Corn Waffles: MAE = 0.42g, RMSE = 0.57g
Corned Beef Hash: MAE = 0.52g, RMSE = 0.67g
Cornmeal: MAE = 0.41g, RMSE = 0.59g
Cornstarch: MAE = 0.27g, RMSE = 0.36g
Cottage Pie: MAE = 0.33g, RMSE = 0.44g
Courgette: MAE = 0.45g, RMSE = 0.60g
Couscous: MAE = 0.33g, RMSE = 0.43g
Cracker: MAE = 0.34g, RMSE = 0.44g
Cranberries: MAE = 0.44g, RMSE = 0.56g
Cream of Asparagus Soup: MAE = 0.53g, RMSE = 0.68g
Cream of Broccoli Soup: MAE = 0.35g, RMSE = 0.51g
Cream of Celery Soup: MAE = 0.42g, RMSE = 0.53g
Cream of Chicken Soup: MAE = 0.34g, RMSE = 0.49g
Cream of Mushroom Soup: MAE = 0.31g, RMSE = 0.40g
Cream of Onion Soup: MAE = 0.52g, RMSE = 0.74g
Cream of Potato Soup: MAE = 0.33g, RMSE = 0.43g
Creamed Spinach: MAE = 0.30g, RMSE = 0.45g
Creamy Chicken Noodle Soup: MAE = 0.44g, RMSE = 0.63g
Crunchie McFlurry: MAE = 0.50g, RMSE = 0.69g
Cucumber: MAE = 0.32g, RMSE = 0.47g
Curly Fries: MAE = 0.50g, RMSE = 0.70g
Currants: MAE = 0.33g, RMSE = 0.48g
Custard Apple: MAE = 0.36g, RMSE = 0.56g
Dairy Milk McFlurry: MAE = 0.68g, RMSE = 0.89g
Dal: MAE = 0.42g, RMSE = 0.61g
Dampfnudel: MAE = 0.26g, RMSE = 0.32g
Dates: MAE = 0.35g, RMSE = 0.48g
Deep Dish Pizza: MAE = 0.40g, RMSE = 0.54g
Deviled Eggs: MAE = 0.34g, RMSE = 0.45g
Dim Sum: MAE = 0.33g, RMSE = 0.41g
Dippin Dots: MAE = 0.33g, RMSE = 0.45g
Dominos Philly Cheese Steak Pizza: MAE = 0.52g, RMSE = 0.67g
Dosa: MAE = 0.27g, RMSE = 0.35g
Double Cheeseburger: MAE = 0.43g, RMSE = 0.60g
Double Rainbow: MAE = 0.37g, RMSE = 0.50g
Dragon Fruit: MAE = 0.35g, RMSE = 0.52g
Drumsticks: MAE = 0.38g, RMSE = 0.53g
Dumpling Dough: MAE = 0.53g, RMSE = 0.70g
Durian: MAE = 0.46g, RMSE = 0.61g
Durum Wheat Semolina: MAE = 0.31g, RMSE = 0.42g
Egg: MAE = 7.89g, RMSE = 15.04g
Egg Noodles: MAE = 0.43g, RMSE = 0.55g
Egg Roll: MAE = 0.32g, RMSE = 0.49g
Eggplant: MAE = 0.30g, RMSE = 0.44g
Enchiladas: MAE = 0.47g, RMSE = 0.62g
Endive: MAE = 0.29g, RMSE = 0.36g
Fajita: MAE = 0.46g, RMSE = 0.74g
Falafel: MAE = 0.31g, RMSE = 0.39g
Farfalle: MAE = 0.40g, RMSE = 0.52g
Feijoa: MAE = 0.29g, RMSE = 0.44g
Fennel: MAE = 0.23g, RMSE = 0.32g
Fettuccine: MAE = 0.42g, RMSE = 0.56g
